word vector file:		GiTuCo.filt.uniq.stemB.format_S_Rcuspod.samp44p_w5_v200_mc10_i5_cbow.w2v.vec
corpus file:			GiTuCo.filt.uniq.stemB.sample
input file:				_arg_verb_list_50x100
minimum sample size:	30
minimum context size:	15
window size:			20
filters:				cuspod
is keyword included?	true
PCA variance threshold:	0.45
number of threads:		8

arg	verb	sample size	argComp	verbComp	phraseAvgComp	phrasePCAcomp
yol:v	aç:v	9	null	null	null	null
dava:0	aç:v	1	null	null	null	null
kapı:1	aç:v	null	null	null	null	null
başlıK:0	aç:v	1	null	null	null	null
çığır:v	aç:v	null	null	null	null	null
yelken:0	aç:v	null	null	null	null	null
ağ$ız:1	aç:v	null	null	null	null	null
ön:1	aç:v	1	null	null	null	null
parantez:0	aç:v	null	null	null	null	null
göz:1	aç:v	1	null	null	null	null
kucaK:0	aç:v	null	null	null	null	null
kapaK:1	aç:v	null	null	null	null	null
pencere:1	aç:v	null	null	null	null	null
pankart:0	aç:v	null	null	null	null	null
ateş:0	aç:v	null	null	null	null	null
ara:1	aç:v	null	null	null	null	null
yol:1	aç:v	null	null	null	null	null
kiliT:1	aç:v	null	null	null	null	null
uf$uk:1	aç:v	null	null	null	null	null
dükkan:0	aç:v	null	null	null	null	null
telefon:0	aç:v	null	null	null	null	null
kapı:0	aç:v	1	null	null	null	null
başlıK:1	aç:v	null	null	null	null	null
hesaP:0	aç:v	null	null	null	null	null
kutu:1	aç:v	null	null	null	null	null
savaş:v	aç:v	1	null	null	null	null
cam:0	aç:v	null	null	null	null	null
mağaza:0	aç:v	null	null	null	null	null
çiçeK:0	aç:v	null	null	null	null	null
pencere:0	aç:v	null	null	null	null	null
radyo:1	aç:v	null	null	null	null	null
imar:2	aç:v	null	null	null	null	null
buzdolabı&:1	aç:v	null	null	null	null	null
şube:0	aç:v	null	null	null	null	null
kucaK:1	aç:v	null	null	null	null	null
sayfa:1	aç:v	null	null	null	null	null
perde:1	aç:v	null	null	null	null	null
klima:1	aç:v	null	null	null	null	null
sergi:0	aç:v	null	null	null	null	null
deliK:0	aç:v	null	null	null	null	null
çekmece:1	aç:v	null	null	null	null	null
kol:1	aç:v	1	null	null	null	null
oturum:0	aç:v	null	null	null	null	null
soruştur:v	aç:v	1	null	null	null	null
kar$ın:0	aç:v	null	null	null	null	null
yara:0	aç:v	null	null	null	null	null
liman:1	aç:v	null	null	null	null	null
şube:1	aç:v	null	null	null	null	null
kopça:0	aç:v	null	null	null	null	null
fermuar:1	aç:v	null	null	null	null	null
konu:1	aç:v	null	null	null	null	null
dükkan:1	aç:v	null	null	null	null	null
bacaK:1	aç:v	null	null	null	null	null
telefon:1	aç:v	null	null	null	null	null
mağaza:1	aç:v	null	null	null	null	null
sayfa:0	aç:v	null	null	null	null	null
muayenehane:0	aç:v	null	null	null	null	null
musluK:1	aç:v	null	null	null	null	null
bilgisayar:1	aç:v	null	null	null	null	null
uf$uk:0	aç:v	null	null	null	null	null
sezon:1	aç:v	null	null	null	null	null
iç:1	aç:v	null	null	null	null	null
düğme:1	aç:v	null	null	null	null	null
hizmet:2	aç:v	null	null	null	null	null
sergi:1	aç:v	null	null	null	null	null
anahtarlE:v	aç:v	null	null	null	null	null
dava:1	aç:v	null	null	null	null	null
cam:1	aç:v	null	null	null	null	null
şemsiye:1	aç:v	null	null	null	null	null
dosya:1	aç:v	null	null	null	null	null
kaput:0	aç:v	null	null	null	null	null
kanalı:0	aç:v	null	null	null	null	null
tezgah:0	aç:v	null	null	null	null	null
oruÇ:1	aç:v	null	null	null	null	null
bayraK:0	aç:v	null	null	null	null	null
çığır:0	aç:v	null	null	null	null	null
paraşüt:1	aç:v	null	null	null	null	null
kanaT:1	aç:v	null	null	null	null	null
site:1	aç:v	null	null	null	null	null
aç:v	aç:v	null	null	null	null	null
kanalı:1	aç:v	null	null	null	null	null
